Combo/MI name	Type	NID
	nhpid_ingredient	30585
	nhpid_ingredient	30586
	nhpid_ingredient	30587
	nhpid_ingredient	30588
	nhpid_ingredient	30589
	nhpid_ingredient	30590
	nhpid_ingredient	30591
	nhpid_ingredient	30592
	nhpid_ingredient	30593
	nhpid_ingredient	30594
	nhpid_ingredient	30595
	nhpid_ingredient	30596
	nhpid_ingredient	30597
	nhpid_ingredient	30598
	nhpid_ingredient	30599
	nhpid_ingredient	30600
	nhpid_ingredient	30601
	nhpid_ingredient	30602
	nhpid_ingredient	30603
	nhpid_ingredient	30604
	nhpid_ingredient	30605
	nhpid_ingredient	30606
	nhpid_ingredient	30607
	nhpid_ingredient	30608
	nhpid_ingredient	30609
	nhpid_ingredient	30610
	nhpid_ingredient	30611
	nhpid_ingredient	30612
	nhpid_ingredient	30613
	nhpid_ingredient	30614
	nhpid_ingredient	30615
	nhpid_ingredient	30616
	nhpid_ingredient	30617
	nhpid_ingredient	30618
	nhpid_ingredient	30619
	nhpid_ingredient	30620
